Date,Service,Cost,Currency,IoT_Things,IoT_Rules,IoT_Policies,Is_IoT_Core
2024-11-17,AmazonEC2,1.1713,USD,0,0,0,0
2024-11-17,AmazonS3,0.1372,USD,0,0,0,0
2024-11-17,AmazonRDS,1.0272,USD,0,0,0,0
2024-11-17,AWSIoT,0.8639,USD,87,4,2,1
2024-11-17,AmazonLambda,0.4752,USD,0,0,0,0
2024-11-17,AmazonCloudFront,0.8965,USD,0,0,0,0
2024-11-17,AmazonAPIGateway,0.2453,USD,0,0,0,0
2024-11-18,AmazonEC2,2.59164,USD,0,0,0,0
2024-11-18,AmazonS3,0.25007999999999997,USD,0,0,0,0
2024-11-18,AmazonRDS,1.2102,USD,0,0,0,0
2024-11-18,AWSIoT,0.91824,USD,78,6,2,1
2024-11-18,AmazonLambda,0.51624,USD,0,0,0,0
2024-11-18,AmazonCloudFront,1.26708,USD,0,0,0,0
2024-11-18,AmazonAPIGateway,0.42036,USD,0,0,0,0
2024-11-19,AmazonEC2,1.3904,USD,0,0,0,0
2024-11-19,AmazonS3,0.1904,USD,0,0,0,0
2024-11-19,AmazonRDS,1.1068,USD,0,0,0,0
2024-11-19,AWSIoT,0.8073,USD,53,6,5,1
2024-11-19,AmazonLambda,0.4459,USD,0,0,0,0
2024-11-19,AmazonCloudFront,0.872,USD,0,0,0,0
2024-11-19,AmazonAPIGateway,0.3745,USD,0,0,0,0
2024-11-20,AmazonEC2,1.3623,USD,0,0,0,0
2024-11-20,AmazonS3,0.201,USD,0,0,0,0
2024-11-20,AmazonRDS,1.1555,USD,0,0,0,0
2024-11-20,AWSIoT,0.7067,USD,66,2,1,1
2024-11-20,AmazonLambda,0.6386,USD,0,0,0,0
2024-11-20,AmazonCloudFront,0.8262,USD,0,0,0,0
2024-11-20,AmazonAPIGateway,0.312,USD,0,0,0,0
2024-11-21,AmazonEC2,1.7084,USD,0,0,0,0
2024-11-21,AmazonS3,0.2031,USD,0,0,0,0
2024-11-21,AmazonRDS,0.8459,USD,0,0,0,0
2024-11-21,AWSIoT,0.705,USD,46,8,4,1
2024-11-21,AmazonLambda,0.3682,USD,0,0,0,0
2024-11-21,AmazonCloudFront,0.9407,USD,0,0,0,0
2024-11-21,AmazonAPIGateway,0.2888,USD,0,0,0,0
2024-11-22,AmazonEC2,1.48104,USD,0,0,0,0
2024-11-22,AmazonS3,0.18072000000000002,USD,0,0,0,0
2024-11-22,AmazonRDS,1.2936,USD,0,0,0,0
2024-11-22,AWSIoT,0.7963199999999999,USD,35,7,3,1
2024-11-22,AmazonLambda,0.48827999999999994,USD,0,0,0,0
2024-11-22,AmazonCloudFront,1.0029599999999999,USD,0,0,0,0
2024-11-22,AmazonAPIGateway,0.5194799999999999,USD,0,0,0,0
2024-11-23,AmazonEC2,1.1709,USD,0,0,0,0
2024-11-23,AmazonS3,0.1199,USD,0,0,0,0
2024-11-23,AmazonRDS,1.2362,USD,0,0,0,0
2024-11-23,AWSIoT,0.8005,USD,44,4,4,1
2024-11-23,AmazonLambda,0.4102,USD,0,0,0,0
2024-11-23,AmazonCloudFront,0.6391,USD,0,0,0,0
2024-11-23,AmazonAPIGateway,0.2434,USD,0,0,0,0
2024-11-24,AmazonEC2,1.9214,USD,0,0,0,0
2024-11-24,AmazonS3,0.1308,USD,0,0,0,0
2024-11-24,AmazonRDS,1.1319,USD,0,0,0,0
2024-11-24,AWSIoT,0.583,USD,32,3,1,1
2024-11-24,AmazonLambda,0.5439,USD,0,0,0,0
2024-11-24,AmazonCloudFront,0.8522,USD,0,0,0,0
2024-11-24,AmazonAPIGateway,0.4063,USD,0,0,0,0
2024-11-25,AmazonEC2,1.4526,USD,0,0,0,0
2024-11-25,AmazonS3,0.2028,USD,0,0,0,0
2024-11-25,AmazonRDS,1.20084,USD,0,0,0,0
2024-11-25,AWSIoT,1.08876,USD,47,3,5,1
2024-11-25,AmazonLambda,0.76428,USD,0,0,0,0
2024-11-25,AmazonCloudFront,0.71736,USD,0,0,0,0
2024-11-25,AmazonAPIGateway,0.50328,USD,0,0,0,0
2024-11-26,AmazonEC2,1.3073,USD,0,0,0,0
2024-11-26,AmazonS3,0.1492,USD,0,0,0,0
